# date, home, score, away, score
2009-10-25 CIN 45 CHI 10
2009-10-25 DAL 37 ATL 21
2009-10-25 MIA 34 NO  46
2009-10-25 NYG 17 ARI 24
2009-10-26 WAS 17 PHI 27
2009-11-01 BAL 30 DEN  7
2009-11-01 BUF 10 HOU 31
2009-11-01 CHI 30 CLE  6
2009-11-01 DAL 38 SEA 17
2009-11-01 DET 10 STL 17
2009-11-01 IND 18 SF  14
2009-11-01 NYJ 25 MIA 30
2009-11-01 PHI 40 NYG 17
2009-11-01 SD  24 OAK 16
2009-11-01 TEN 30 JAC 13
2009-11-01 GB  26 MIN 38
2009-11-01 ARI 21 CAR 34
2009-11-02 NO  35 ATL 27
2009-11-08 ATL 31 WAS 17
2009-11-08 CHI 21 ARI 41
2009-11-08 CIN 17 BAL  7
2009-11-08 IND 20 HOU 17
2009-11-08 JAC 24 KC  21
2009-11-08 NE  27 MIA 17
2009-11-08 TB  38 GB  28
2009-11-08 NO  30 CAR 20
2009-11-08 SEA 32 DET 20
2009-11-08 NYG 20 SD  21
2009-11-08 SF  27 TEN 34
2009-11-08 PHI 16 DAL 20
2009-11-09 DEN 10 PIT 28
2009-11-12 SF  10 CHI  6
2009-11-15 CAR 28 ATL 19
2009-11-15 MIA 25 TB  23
2009-11-15 MIN 27 DET 10
2009-11-15 NYJ 22 JAC 24
2009-11-15 PIT 12 CIN 18
2009-11-15 STL 23 NO  28
2009-11-15 TEN 41 BUF 17
2009-11-15 WAS 27 DEN 17
2009-11-15 OAK 10 KC  16
2009-11-15 ARI 31 SEA 20
2009-11-15 GB  17 DAL  7
2009-11-15 SD  31 PHI 23
2009-11-15 IND 35 NE  34
2009-11-16 CLE  0 BAL 16
2009-11-19 CAR 17 MIA 24
2009-11-22 BAL 15 IND 17
2009-11-22 DAL  7 WAS  6
2009-11-22 DET 38 CLE 37
2009-11-22 GB  30 SF  24
2009-11-22 JAC 18 BUF 15
2009-11-22 KC  27 PIT 24
2009-11-22 MIN 35 SEA  9
2009-11-22 NYG 34 ATL 31
2009-11-22 TB   7 NO  38
2009-11-22 STL 13 ARI 21
2009-11-22 DEN  3 SD  32
2009-11-22 NE  31 NYJ 14
2009-11-22 OAK 20 CIN 17
2009-11-22 CHI 20 PHI 24
